id,frequency,frequency_short,last_updated,notes,observation_end,observation_start,popularity,realtime_end,realtime_start,seasonal_adjustment,seasonal_adjustment_short,title,units,units_short
ADJRES,"Biweekly, Ending Wednesday",BW,2018-09-20 15:31:02-05,"This series has been reconstructed starting July 14, 2003. For further information, please refer to https://files.stlouisfed.org/research/publications/review/03/09/Anderson.pdf. Historical data and components are available at https://files.stlouisfed.org/research/publications/review/03/09/0309ra.xls.  Further information and definitions are available at: http://research.stlouisfed.org/publications/mt/.",2018-09-12,1984-02-15,39,2018-09-28,2018-09-28,Seasonally Adjusted,SA,St. Louis Adjusted Reserves,Billions of Dollars,Bil. of $
RESBALREQ,Monthly,M,2018-09-13 15:51:06-05,Reserve balance requirements series is the portion of the reserve requirements not satisfied by vault cash. The series is calulated as Required reserves (https://fred.stlouisfed.org/series/REQRESNS) less Vault cash used to satisfy required reserves (https://fred.stlouisfed.org/series/VAULT).,2018-08-01,1984-02-01,36,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Reserve Balances Required; Reserve Balance Requirements,Millions of Dollars,Mil. of $
TOTRESNS,Monthly,M,2018-09-13 15:51:07-05,This series is a sum of total reserve balances maintained plus vault cash used to satisfy required reserves.,2018-08-01,1959-01-01,35,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Total Reserves of Depository Institutions,Billions of Dollars,Bil. of $
M1,"Weekly, Ending Monday",W,2018-09-27 15:51:03-05,"M1 includes funds that are readily accessible for spending. M1 consists of: (1) currency outside the U.S. Treasury, Federal Reserve Banks, and the vaults of depository institutions; (2) traveler's checks of nonbank issuers; (3) demand deposits; and (4) other checkable deposits (OCDs), which consist primarily of negotiable order of withdrawal (NOW) accounts at depository institutions and credit union share draft accounts. Seasonally adjusted M1 is calculated by summing currency, traveler's checks, demand deposits, and OCDs, each seasonally adjusted separately.",2018-09-17,1975-01-06,79,2018-09-28,2018-09-28,Seasonally Adjusted,SA,M1 Money Stock,Billions of Dollars,Bil. of $
M1SL,Monthly,M,2018-09-20 15:51:02-05,"M1 includes funds that are readily accessible for spending. M1 consists of: (1) currency outside the U.S. Treasury, Federal Reserve Banks, and the vaults of depository institutions; (2) traveler's checks of nonbank issuers; (3) demand deposits; and (4) other checkable deposits (OCDs), which consist primarily of negotiable order of withdrawal (NOW) accounts at depository institutions and credit union share draft accounts. Seasonally adjusted M1 is calculated by summing currency, traveler's checks, demand deposits, and OCDs, each seasonally adjusted separately.",2018-08-01,1959-01-01,75,2018-09-28,2018-09-28,Seasonally Adjusted,SA,M1 Money Stock,Billions of Dollars,Bil. of $
MULT,"Biweekly, Ending Wednesday",BW,2018-09-20 15:31:02-05,"The M1 multiplier is the ratio of M1 to the St. Louis Adjusted Monetary Base. For further information on monetary aggregates, please refer to the Definitions, Notes, and Sources at http://research.stlouisfed.org/publications/mt/.",2018-09-12,1984-02-15,70,2018-09-28,2018-09-28,Seasonally Adjusted,SA,M1 Money Multiplier,Ratio,Ratio
CURRSL,Monthly,M,2018-09-13 15:51:03-05,"The currency component of M1, sometimes called ""money stock currency,"" is defined as currency in circulation outside the U.S. Treasury and Federal Reserve Banks. Data on total currency in circulation are obtained weekly from balance sheets of the Federal Reserve Banks and from the U.S. Treasury. Weekly currency in circulation data are published each week on the Federal Reserve Board's H.4.1 statistical release ""Factors Affecting Reserve Balances of Depository Institutions and Condition Statement of Federal Reserve Banks."" Vault cash is reported on the FR 2900 and subtracted from total currency in circulation. For institutions that do not file the FR 2900, vault cash is estimated using data reported on the Call Reports.",2018-08-01,1947-01-01,63,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Currency Component of M1,Billions of Dollars,Bil. of $
CURRENCY,"Weekly, Ending Monday",W,2018-09-27 15:51:04-05,"The currency component of M1, sometimes called ""money stock currency,"" is defined as currency in circulation outside the U.S. Treasury and Federal Reserve Banks. Data on total currency in circulation are obtained weekly from balance sheets of the Federal Reserve Banks and from the U.S. Treasury. Weekly currency in circulation data are published each week on the Federal Reserve Board's H.4.1 statistical release ""Factors Affecting Reserve Balances of Depository Institutions and Condition Statement of Federal Reserve Banks."" Vault cash is reported on the FR 2900 and subtracted from total currency in circulation. For institutions that do not file the FR 2900, vault cash is estimated using data reported on the Call Reports.",2018-09-17,1975-01-06,54,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Currency Component of M1,Billions of Dollars,Bil. of $
TCD,"Weekly, Ending Monday",W,2018-09-27 15:51:04-05,Demand deposits plus other checkable deposits. Calculated by the Federal Reserve Bank of St. Louis.,2018-09-17,1975-01-06,54,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Total Checkable Deposits,Billions of Dollars,Bil. of $
M1NS,Monthly,M,2018-09-20 15:51:03-05,"M1 includes funds that are readily accessible for spending. M1 consists of: (1) currency outside the U.S. Treasury, Federal Reserve Banks, and the vaults of depository institutions; (2) traveler's checks of nonbank issuers; (3) demand deposits; and (4) other checkable deposits (OCDs), which consist primarily of negotiable order of withdrawal (NOW) accounts at depository institutions and credit union share draft accounts.",2018-08-01,1959-01-01,52,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,M1 Money Stock,Billions of Dollars,Bil. of $
DEMDEPSL,Monthly,M,2018-09-27 15:51:05-05,"The demand deposits component of M1 is defined as total demand deposits at commercial banks and foreign related institutions other than those due to the U.S. government, U.S. and foreign depository institutions, and foreign official institutions. In order to avoid double counting those deposits that are simultaneously on the books of two depository institutions, the demand deposit component of M1 excludes cash items in the process of collection (CIPC) and Federal Reserve float. Demand deposits due to depository institutions in the United States and the U.S. government, as well as other demand deposits and CIPC are reported on the FR 2900 and, for institutions that do not file the FR 2900, are estimated using data reported on the Call Reports. Demand deposits held by foreign banks and foreign official institutions are estimated using data reported on the Call Reports. Federal Reserve float is obtained from the consolidated balance sheet of the Federal Reserve Banks, which is published each week in the Federal Reserve Board's H.4.1 statistical release.",2018-08-01,1959-01-01,51,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Demand Deposits: Total,Billions of Dollars,Bil. of $
M1REAL,Monthly,M,2018-09-21 09:41:02-05,This series deflates M1 money stock (https://fred.stlouisfed.org/series/M1SL) with CPI (https://fred.stlouisfed.org/series/CPIAUCSL).,2018-08-01,1959-01-01,45,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Real M1 Money Stock,Billions of 1982-84 Dollars,Bil. of 1982-84 $
WTCSL,"Weekly, Ending Monday",W,2018-09-27 15:51:05-05,,2018-09-17,1975-01-06,43,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Travelers Checks Outstanding,Billions of Dollars,Bil. of $
M2,"Weekly, Ending Monday",W,2018-09-27 15:51:02-05,"M2 includes a broader set of financial assets held principally by households. M2 consists of M1 plus: (1) savings deposits (which include money market deposit accounts, or MMDAs); (2) small-denomination time deposits (time deposits in amounts of less than $100,000); and (3) balances in retail money market mutual funds (MMMFs). Seasonally adjusted M2 is computed by summing savings deposits, small-denomination time deposits, and retail MMMFs, each seasonally adjusted separately, and adding this result to seasonally adjusted M1.",2018-09-17,1980-11-03,83,2018-09-28,2018-09-28,Seasonally Adjusted,SA,M2 Money Stock,Billions of Dollars,Bil. of $
M2SL,Monthly,M,2018-09-20 15:51:02-05,"M2 includes a broader set of financial assets held principally by households. M2 consists of M1 plus: (1) savings deposits (which include money market deposit accounts, or MMDAs); (2) small-denomination time deposits (time deposits in amounts of less than $100,000); and (3) balances in retail money market mutual funds (MMMFs). Seasonally adjusted M2 is computed by summing savings deposits, small-denomination time deposits, and retail MMMFs, each seasonally adjusted separately, and adding this result to seasonally adjusted M1.",2018-08-01,1959-01-01,74,2018-09-28,2018-09-28,Seasonally Adjusted,SA,M2 Money Stock,Billions of Dollars,Bil. of $
SAVINGS,"Weekly, Ending Monday",W,2018-09-27 15:51:03-05,"The savings deposits component of M2 consists of passbook-type savings deposits as well as MMDAs at banks and thrifts. This item is reported on the FR 2900 and, for institutions that do not file the FR 2900, is estimated using data reported on the Call Reports.",2018-09-17,1975-01-06,62,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Total Savings Deposits at all Depository Institutions,Billions of Dollars,Bil. of $
M2NS,Monthly,M,2018-09-20 15:51:03-05,"M2 includes a broader set of financial assets held principally by households. M2 consists of M1 plus: (1) savings deposits (which include money market deposit accounts, or MMDAs); (2) small-denomination time deposits (time deposits in amounts of less than $100,000); and (3) balances in retail money market mutual funds (MMMFs).",2018-08-01,1959-01-01,58,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,M2 Money Stock,Billions of Dollars,Bil. of $
WRMFSL,"Weekly, Ending Monday",W,2018-09-27 15:51:04-05,"The retail money funds component of M2 is constructed from weekly data collected by the Investment Company Institute (ICI), a trade association for the investment company industry. The retail money funds component of M2 excludes IRA and Keogh balances held at MMMFs, which are reported by ICI on a quarterly basis.",2018-09-17,1980-02-04,56,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Retail Money Funds,Billions of Dollars,Bil. of $
WM2NS,"Weekly, Ending Monday",W,2018-09-27 15:51:04-05,"M2 includes a broader set of financial assets held principally by households. M2 consists of M1 plus: (1) savings deposits (which include money market deposit accounts, or MMDAs); (2) small-denomination time deposits (time deposits in amounts of less than $100,000); and (3) balances in retail money market mutual funds (MMMFs).",2018-09-17,1980-11-03,52,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,M2 Money Stock,Billions of Dollars,Bil. of $
WSMTIME,"Weekly, Ending Monday",W,2018-09-27 15:51:04-05,"The small-denomination time deposits component of M2 includes time deposits at banks and thrifts with balances less than $100,000. The small-denomination time deposit component of M2 excludes individual retirement account (IRA) and Keogh balances at depository institutions because heavy penalties for pre-retirement withdrawals make them too illiquid to be included in the monetary aggregates. Gross small-denomination time deposits, derived as the difference between total time deposits and time deposits with balances of $100,000 or more, are reported on the FR 2900 and, for institutions that do not file an FR 2900, are estimated using data reported on the Call Reports. IRA and Keogh account balances at depository institutions are estimated using data reported on the Call Reports.",2018-09-17,1975-01-06,51,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Small Time Deposits - Total,Billions of Dollars,Bil. of $
WSAVNS,"Weekly, Ending Monday",W,2018-09-27 15:51:04-05,"The savings deposits component of M2 consists of passbook-type savings deposits as well as MMDAs at banks and thrifts. This item is reported on the FR 2900 and, for institutions that do not file the FR 2900, is estimated using data reported on the Call Reports.",2018-09-17,1975-01-06,50,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Total Savings Deposits at all Depository Institutions,Billions of Dollars,Bil. of $
M2REAL,Monthly,M,2018-09-21 09:41:01-05,This series deflates M2 money stock (https://fred.stlouisfed.org/series/M2SL) with CPI (https://fred.stlouisfed.org/series/CPIAUCSL).,2018-08-01,1959-01-01,50,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Real M2 Money Stock,Billions of 1982-84 Dollars,Bil. of 1982-84 $
SAVINGSL,Monthly,M,2018-09-20 15:51:05-05,"The savings deposits component of M2 consists of passbook-type savings deposits as well as MMDAs at banks and thrifts. This item is reported on the FR 2900 and, for institutions that do not file the FR 2900, is estimated using data reported on the Call Reports.",2018-08-01,1959-01-01,47,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Savings Deposits - Total,Billions of Dollars,Bil. of $
M2MSL,Monthly,M,2018-09-21 08:11:03-05,,,,,,,,,,,
M2MOWN,Monthly,M,2018-09-21 08:11:03-05,,,,,,,,,,,
M2MNS,Monthly,M,2018-09-21 08:11:04-05,,,,,,,,,,,
MSIM2MP,Monthly,M,2014-01-17 07:16:43-06,,,,,,,,,,,
OCM2MP,Monthly,M,2014-01-17 07:16:41-06,,,,,,,,,,,
OCM2MA,Monthly,M,2014-01-17 07:16:41-06,,,,,,,,,,,
MSIM2MA,Monthly,M,2014-01-17 07:16:43-06,,,,,,,,,,,
M3,"Weekly, Ending Monday",W,2006-09-18 20:15:11-05,,,,,,,,,,,
WIMFNS,"Weekly, Ending Monday",W,2018-09-27 15:51:06-05,,,,,,,,,,,
M3SL,Monthly,M,2008-01-15 12:36:22-06,,,,,,,,,,,
WIMFSL,"Weekly, Ending Monday",W,2018-09-27 15:51:07-05,,,,,,,,,,,
IMFSL,Monthly,M,2018-09-27 15:51:08-05,,,,,,,,,,,
M3NS,Monthly,M,2006-10-24 14:37:41-05,,,,,,,,,,,
IMFNS,Monthly,M,2018-09-27 15:51:08-05,,,,,,,,,,,
MSIALLP,Monthly,M,2014-01-17 07:16:45-06,,,,,,,,,,,
LQDASSSL,Monthly,M,1998-09-01 00:00:00-05,,,,,,,,,,,
EURONS,Monthly,M,2006-10-24 14:36:11-05,,,,,,,,,,,
MZM,"Weekly, Ending Monday",W,2018-09-28 09:41:02-05,,,,,,,,,,,
MZMOWN,Monthly,M,2018-09-21 08:11:03-05,,,,,,,,,,,
MZMSL,Monthly,M,2018-09-28 09:41:02-05,,,,,,,,,,,
MZMNS,Monthly,M,2018-09-28 09:41:02-05,,,,,,,,,,,
WMZMNS,"Weekly, Ending Monday",W,2018-09-28 09:41:02-05,,,,,,,,,,,
MZMREAL,Monthly,M,2018-09-28 09:41:02-05,,,,,,,,,,,
MSIMZMP,Monthly,M,2014-01-17 07:16:42-06,,,,,,,,,,,
MSIMZMA,Monthly,M,2014-01-17 07:16:43-06,,,,,,,,,,,
OCMZMA,Monthly,M,2014-01-17 07:16:41-06,,,,,,,,,,,
OCMZMP,Monthly,M,2014-01-17 07:16:40-06,,,,,,,,,,,
IRA,Monthly,M,2018-09-13 15:51:08-05,,,,,,,,,,,
GDTCBW,Weekly,W,2018-09-27 15:51:06-05,,,,,,,,,,,
GDBFRM,Monthly,M,2018-09-13 15:51:13-05,,,,,,,,,,,
DDDFCBNS,Monthly,M,2018-09-13 15:51:17-05,,,,,,,,,,,
DDDFOINS,Monthly,M,2018-09-13 15:51:16-05,,,,,,,,,,,
GDTCBM,Monthly,M,2018-09-20 15:51:14-05,,,,,,,,,,,
USGDCB,Monthly,M,2018-09-13 15:51:19-05,,,,,,,,,,,
USGVDDNS,Monthly,M,2018-09-13 15:51:16-05,,,,,,,,,,,
GDDDCBW,"Weekly, Ending Monday",W,2018-09-27 15:51:12-05,,,,,,,,,,,
NBCB,Monthly,M,2018-09-13 15:51:16-05,,,,,,,,,,,
M2V,Quarterly,Q,2018-08-29 15:51:01-05,,,,,,,,,,,
M1V,Quarterly,Q,2018-08-29 15:51:01-05,,,,,,,,,,,
MZMV,Quarterly,Q,2018-07-27 15:51:03-05,,,,,,,,,,,
BORROW,Monthly,M,2018-09-13 15:51:07-05,,,,,,,,,,,
DISCBORR,Monthly,M,2018-09-13 15:51:07-05,,,,,,,,,,,
PRIMBORRW,"Weekly, Ending Wednesday",W,2018-09-13 15:51:11-05,,,,,,,,,,,
TOTBORR,"Weekly, Ending Wednesday",W,2018-09-27 15:51:07-05,,,,,,,,,,,
TABSLFBORR,Monthly,M,2018-09-13 15:51:12-05,,,,,,,,,,,
BORROWW,"Weekly, Ending Wednesday",W,2018-09-13 15:51:14-05,,,,,,,,,,,
SEABORR,Monthly,M,2018-09-13 15:51:23-05,,,,,,,,,,,
SEABORRW,"Weekly, Ending Wednesday",W,2018-09-13 15:51:23-05,,,,,,,,,,,
PRIMBORR,Monthly,M,2018-09-13 15:51:23-05,,,,,,,,,,,
SECBORRW,"Weekly, Ending Wednesday",W,2018-09-13 15:51:22-05,,,,,,,,,,,
WALCL,"Weekly, As of Wednesday",W,2018-09-27 15:51:03-05,,,,,,,,,,,
WRESBAL,"Weekly, Ending Wednesday",W,2018-09-27 15:51:03-05,,,,,,,,,,,
WCURCIR,"Weekly, Ending Wednesday",W,2018-09-27 15:51:03-05,,,,,,,,,,,
WSHOMCB,"Weekly, As of Wednesday",W,2018-09-27 15:51:05-05,,,,,,,,,,,
RRPONTSYD,Daily,D,2018-09-28 13:21:02-05,,,,,,,,,,,
WMTSECL1,"Weekly, As of Wednesday",W,2018-09-27 15:51:04-05,,,,,,,,,,,
WTREGEN,"Weekly, Ending Wednesday",W,2018-09-27 15:51:04-05,,,,,,,,,,,
CURRCIR,Monthly,M,2018-09-07 08:41:02-05,,,,,,,,,,,
WLRRAFOIAL,"Weekly, As of Wednesday",W,2018-09-27 15:51:06-05,,,,,,,,,,,
WSHOSHO,"Weekly, As of Wednesday",W,2018-09-27 15:51:13-05,,,,,,,,,,,
TREAST,"Weekly, As of Wednesday",W,2018-09-27 15:51:03-05,,,,,,,,,,,
MBST,"Weekly, As of Wednesday",W,2018-06-14 15:41:02-05,,,,,,,,,,,
SWPT,"Weekly, As of Wednesday",W,2018-09-27 15:51:05-05,,,,,,,,,,,
RREPT,"Weekly, As of Wednesday",W,2018-06-14 15:41:02-05,,,,,,,,,,,
TREAS10Y,"Weekly, As of Wednesday",W,2018-09-27 15:51:05-05,,,,,,,,,,,
TREAS1T5,"Weekly, As of Wednesday",W,2018-09-27 15:51:05-05,,,,,,,,,,,
MBS10Y,"Weekly, As of Wednesday",W,2018-09-27 15:51:07-05,,,,,,,,,,,
FEDDT,"Weekly, As of Wednesday",W,2018-09-27 15:51:05-05,,,,,,,,,,,
TREAS5T10,"Weekly, As of Wednesday",W,2018-09-27 15:51:07-05,,,,,,,,,,,
TREAS911Y,"Weekly, As of Wednesday",W,2018-09-27 15:51:07-05,,,,,,,,,,,
CCDIOAQ156N,Quarterly,Q,2013-05-17 13:19:02-05,,,,,,,,,,,
CCDIHBQ156N,Quarterly,Q,2013-05-17 13:18:48-05,,,,,,,,,,,
CCDIHSQ156N,Quarterly,Q,2013-05-17 13:18:32-05,,,,,,,,,,,
CCDICRQ156N,Quarterly,Q,2013-05-17 13:18:31-05,,,,,,,,,,,
CCDIEMQ156N,Quarterly,Q,2013-05-17 13:18:42-05,,,,,,,,,,,
CCDIOA32820Q156N,Quarterly,Q,2013-05-17 14:01:51-05,,,,,,,,,,,
CCDIOA41180Q156N,Quarterly,Q,2013-05-17 14:01:32-05,,,,,,,,,,,
CCDIOAALQ156N,Quarterly,Q,2013-05-17 13:18:53-05,,,,,,,,,,,
CCDIOA12060Q156N,Quarterly,Q,2013-05-17 14:01:21-05,,,,,,,,,,,
CCDINWQ156N,Quarterly,Q,2013-05-17 13:19:16-05,,,,,,,,,,,
STLFSI,"Weekly, Ending Friday",W,2018-09-27 09:00:03-05,,,,,,,,,,,
USSLIND,Monthly,M,2018-09-05 13:31:02-05,,,,,,,,,,,
UMCSENT,Monthly,M,2018-09-28 11:05:51-05,,,,,,,,,,,
NFCI,"Weekly, Ending Friday",W,2018-09-26 07:41:01-05,,,,,,,,,,,
NFCILEVERAGE,"Weekly, Ending Friday",W,2018-09-26 07:41:06-05,,,,,,,,,,,
CFNAI,Monthly,M,2018-09-24 07:41:01-05,,,,,,,,,,,
ANFCI,"Weekly, Ending Friday",W,2018-09-26 07:41:04-05,,,,,,,,,,,
KCFSI,Monthly,M,2018-09-11 14:31:01-05,,,,,,,,,,,
NFCINONFINLEVERAGE,"Weekly, Ending Friday",W,2018-09-26 07:41:18-05,,,,,,,,,,,
TYCSD678FRBCLE,Daily,D,2016-05-06 14:21:42-05,,,,,,,,,,,
SP500,Daily,D,2018-09-28 19:01:01-05,,,,,,,,,,,
DJIA,Daily,D,2018-09-28 19:01:02-05,,,,,,,,,,,
WILL5000INDFC,"Daily, Close",D,2018-09-28 07:41:03-05,,,,,,,,,,,
NASDAQCOM,Daily,D,2018-09-28 18:51:02-05,,,,,,,,,,,
WILL5000PRFC,"Daily, Close",D,2018-09-27 07:41:04-05,,,,,,,,,,,
WILL5000PR,"Daily, Close",D,2018-09-27 07:41:05-05,,,,,,,,,,,
RU2000PR,Daily,D,2018-09-28 19:41:05-05,,,,,,,,,,,
RU3000TR,Daily,D,2018-09-28 19:41:07-05,,,,,,,,,,,
WILL5000IND,"Daily, Close",D,2018-09-28 07:41:03-05,,,,,,,,,,,
WILLREITIND,"Daily, Close",D,2018-09-28 07:41:02-05,,,,,,,,,,,
VIXCLS,"Daily, Close",D,2018-09-28 08:41:02-05,,,,,,,,,,,
VXTYN,"Daily, Close",D,2018-09-28 08:41:03-05,,,,,,,,,,,
VXVCLS,"Daily, Close",D,2018-09-28 08:41:03-05,,,,,,,,,,,
OVXCLS,"Daily, Close",D,2018-09-28 08:41:02-05,,,,,,,,,,,
GVZCLS,"Daily, Close",D,2018-09-28 08:41:02-05,,,,,,,,,,,
VXEEMCLS,"Daily, Close",D,2018-09-28 08:41:02-05,,,,,,,,,,,
VXOCLS,"Daily, Close",D,2018-09-28 08:41:03-05,,,,,,,,,,,
VXFXICLS,"Daily, Close",D,2018-09-28 08:41:02-05,,,,,,,,,,,
VXDCLS,"Daily, Close",D,2018-09-28 08:41:02-05,,,,,,,,,,,
VXSLVCLS,"Daily, Close",D,2018-09-28 08:41:03-05,,,,,,,,,,,
ACILT100,Quarterly,Q,2018-08-24 13:11:03-05,,,,,,,,,,,
ALFAPGT100,Quarterly,Q,2018-08-24 13:11:04-05,,,,,,,,,,,
ACLT100,Quarterly,Q,2018-08-24 13:11:04-05,,,,,,,,,,,
ALSRET100,Quarterly,Q,2018-08-24 13:11:04-05,,,,,,,,,,,
ACILOB,Quarterly,Q,2018-08-24 13:11:06-05,,,,,,,,,,,
TAIEALLGCLCRT100EP,"Quarterly, End of Period",Q,2018-08-24 13:11:05-05,,,,,,,,,,,
NIMUS,"Quarterly, End of Quarter",Q,2018-08-16 16:41:03-05,,,,,,,,,,,
LLSRUS,"Quarterly, End of Quarter",Q,2018-08-16 16:41:03-05,,,,,,,,,,,
ROAUS,"Quarterly, End of Quarter",Q,2018-08-16 16:41:04-05,,,,,,,,,,,
ACLOB,Quarterly,Q,2018-08-24 13:11:09-05,,,,,,,,,,,
TOTALSL,"Monthly, End of Period",M,2018-09-10 15:31:01-05,,,,,,,,,,,
SLOAS,"Quarterly, End of Period",Q,2018-09-10 15:31:01-05,,,,,,,,,,,
TERMCBAUTO48NS,Monthly,M,2018-07-09 14:51:02-05,,,,,,,,,,,
REVOLSL,"Monthly, End of Period",M,2018-09-10 15:31:02-05,,,,,,,,,,,
MVLOAS,"Quarterly, End of Period",Q,2018-09-10 15:31:01-05,,,,,,,,,,,
TERMCBCCALLNS,Monthly,M,2018-07-09 14:51:02-05,,,,,,,,,,,
TERMCBPER24NS,Monthly,M,2018-07-09 14:51:02-05,,,,,,,,,,,
RIFLPBCIANM60NM,Monthly,M,2018-07-09 15:01:02-05,,,,,,,,,,,
TERMCBCCINTNS,Monthly,M,2018-07-09 14:51:02-05,,,,,,,,,,,
TOTALNS,"Monthly, End of Period",M,2018-09-10 15:31:02-05,,,,,,,,,,,
DRSFRMACBS,"Quarterly, End of Period",Q,2018-08-24 13:11:02-05,,,,,,,,,,,
DRCCLACBS,"Quarterly, End of Period",Q,2018-08-24 13:11:02-05,,,,,,,,,,,
DRBLACBS,"Quarterly, End of Period",Q,2018-08-24 13:11:02-05,,,,,,,,,,,
DRCLACBS,"Quarterly, End of Period",Q,2018-08-24 13:11:02-05,,,,,,,,,,,
DRCRELEXFACBS,"Quarterly, End of Period",Q,2018-08-24 13:11:02-05,,,,,,,,,,,
DRALACBS,"Quarterly, End of Period",Q,2018-08-24 13:11:02-05,,,,,,,,,,,
DRCCLOBS,"Quarterly, End of Period",Q,2018-08-24 13:11:04-05,,,,,,,,,,,
DRCCLT100N,"Quarterly, End of Period",Q,2018-08-24 13:11:03-05,,,,,,,,,,,
DRSREACBS,"Quarterly, End of Period",Q,2018-08-24 13:11:03-05,,,,,,,,,,,
DALLCCACBEP,"Quarterly, End of Period",Q,2018-08-24 13:11:03-05,,,,,,,,,,,
BNKTTLA641N,Annual,A,2017-09-29 14:11:02-05,,,,,,,,,,,
BKFTTLA641N,Annual,A,2017-09-29 14:11:04-05,,,,,,,,,,,
BKIFDCA641N,Annual,A,2017-09-29 14:11:11-05,,,,,,,,,,,
BKIFSCA641N,Annual,A,2017-09-29 14:11:10-05,,,,,,,,,,,
BKCCNMA641N,Annual,A,2017-09-29 14:11:07-05,,,,,,,,,,,
BKTPAAA641N,Annual,A,2017-09-29 14:11:13-05,,,,,,,,,,,
BKCCSMA641N,Annual,A,2017-09-29 14:11:08-05,,,,,,,,,,,
BKIDIFA641N,Annual,A,2017-09-29 14:11:18-05,,,,,,,,,,,
BKCCLNA641N,Annual,A,2017-09-29 14:11:19-05,,,,,,,,,,,
BKIBIFA641N,Annual,A,2017-09-29 14:11:18-05,,,,,,,,,,,
MDOAH,"Quarterly, End of Period",Q,2018-09-24 14:31:02-05,,,,,,,,,,,
MDOTHIOH,"Quarterly, End of Period",Q,2018-09-24 14:31:02-05,,,,,,,,,,,
MDOTP1T4FR,"Quarterly, End of Period",Q,2018-09-24 14:31:02-05,,,,,,,,,,,
MDOTPMFR,"Quarterly, End of Period",Q,2018-09-24 14:31:03-05,,,,,,,,,,,
MDOTHFRAFNMA,"Quarterly, End of Period",Q,2018-09-24 14:31:03-05,,,,,,,,,,,
MDOTHMFIDI,"Quarterly, End of Period",Q,2018-09-24 14:31:03-05,,,,,,,,,,,
MDOTHMPTGNMA,"Quarterly, End of Period",Q,2018-09-24 14:31:02-05,,,,,,,,,,,
MDOTPNNRP,"Quarterly, End of Period",Q,2018-09-24 14:31:03-05,,,,,,,,,,,
MDOTHMPTPMCTP1T4FR,"Quarterly, End of Period",Q,2018-09-24 14:31:03-05,,,,,,,,,,,
MDOTPFP,"Quarterly, End of Period",Q,2018-09-24 14:31:03-05,,,,,,,,,,,
CORCCT100S,Quarterly,Q,2018-08-24 13:11:02-05,"Charge-off rates are annualized, net of recoveries. The 100 largest banks are measured by consolidated foreign and domestic assets.",2018-04-01,1985-01-01,56,2018-09-28,2018-09-28,Seasonally Adjusted,SA,"Charge-Off Rate on Credit Card Loans, Top 100 Banks Ranked by Assets",Percent,%
CORCCACBS,Quarterly,Q,2018-08-24 13:11:03-05,"Charge-off rates are annualized, net of recoveries.",2018-04-01,1985-01-01,45,2018-09-28,2018-09-28,Seasonally Adjusted,SA,"Charge-Off Rate on Credit Card Loans, All Commercial Banks",Percent,%
CORBLACBS,Quarterly,Q,2018-08-24 13:11:03-05,"Charge-off rates are annualized, net of recoveries.",2018-04-01,1985-01-01,41,2018-09-28,2018-09-28,Seasonally Adjusted,SA,"Charge-Off Rate on Commercial and Industrial Loans, All Commercial Banks",Percent,%
CORCACBS,Quarterly,Q,2018-08-24 13:11:03-05,"Charge-off rates are annualized, net of recoveries.",2018-04-01,1985-01-01,39,2018-09-28,2018-09-28,Seasonally Adjusted,SA,"Charge-Off Rate on Consumer Loans, All Commercial Banks",Percent,%
CORALACBN,Quarterly,Q,2018-08-24 13:11:04-05,"Charge-off rates are annualized, net of recoveries.",2018-04-01,1985-01-01,36,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"Charge-Off Rate on All Loans, All Commercial Banks",Percent,%
CORSFRMACBS,Quarterly,Q,2018-08-24 13:11:04-05,"Charge-off rates are annualized, net of recoveries.",2018-04-01,1991-01-01,35,2018-09-28,2018-09-28,Seasonally Adjusted,SA,"Charge-Off Rate on Single Family Residential Mortgages, Booked in Domestic Offices, All Commercial Banks",Percent,%
CORCREXFACBS,Quarterly,Q,2018-08-24 13:11:03-05,"Charge-off rates are annualized, net of recoveries.",2018-04-01,1991-01-01,32,2018-09-28,2018-09-28,Seasonally Adjusted,SA,"Charge-Off Rate on Commercial Real Estate Loans (Excluding Farmland), Booked in Domestic Offices, All Commercial Banks",Percent,%
CORCCACBN,Quarterly,Q,2018-08-24 13:11:03-05,"Charge-off rates are annualized, net of recoveries.",2018-04-01,1985-01-01,30,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,"Charge-Off Rate on Credit Card Loans, All Commercial Banks",Percent,%
